mg_gluta; peg8000; ClpX; ClpP; ATP; DNA
14.00;7.50;400.00;400.00;8.00;3.00
14.00;7.50;400.00;400.00;8.00;0.00
6.00;3.00;0.00;0.00;0.00;3.00
14.00;3.00;0.00;0.00;0.00;3.00
6.00;7.50;0.00;0.00;0.00;3.00
6.00;3.00;400.00;0.00;0.00;3.00
6.00;3.00;0.00;400.00;0.00;3.00
6.00;3.00;0.00;0.00;8.00;3.00
6.00;7.50;400.00;400.00;8.00;3.00
14.00;3.00;400.00;400.00;8.00;3.00
14.00;7.50;0.00;400.00;8.00;3.00
14.00;7.50;400.00;0.00;8.00;3.00
14.00;7.50;400.00;400.00;0.00;3.00
12.00;6.00;100.00;0.00;3.00;3.00
12.00;7.50;300.00;50.00;8.00;3.00
10.00;3.00;200.00;300.00;5.00;3.00
10.00;7.50;50.00;50.00;6.00;3.00
11.00;3.00;100.00;250.00;7.00;3.00
13.00;3.00;300.00;0.00;5.00;3.00
8.00;3.00;50.00;400.00;7.00;3.00
